name,query,type
Header sequence,"SELECT ""url"" FROM ""efd"".""autogen"".""lsst.sal.ATHeaderService.logevent_largeFileObjectAvailable"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
"Currents 3, 4, 5 - Static","SELECT ""motorCurrent3"", ""motorCurrent4"", ""motorCurrent5"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Moving,"SELECT ""motorCurrent0"", ""motorCurrent1"", ""motorCurrent2"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
HVAC,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
PMD:1,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.PMD.logevent_summaryState"" WHERE salIndex = 1 ORDER BY DESC LIMIT 1",influxql
ATMCS-Tracking,"SELECT ""state"" FROM ""efd"".""autogen"".""lsst.sal.ATMCS.logevent_atMountState"" ORDER BY DESC LIMIT 1",influxql
Azimuth,"SELECT ""azimuthCalculatedAngle99"" FROM ""efd"".""autogen"".""lsst.sal.ATMCS.mount_AzEl_Encoders"" ORDER BY DESC LIMIT 1",influxql
GenericCamera:1,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.GenericCamera.logevent_summaryState"" WHERE ""salIndex"" = 1 ORDER BY DESC LIMIT 1",influxql
ATAOS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATAOS.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
ATHexapod,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATHexapod.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
ATDome,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
ATPtg,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATPtg.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
ATDomeTrajectory,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATDomeTrajectory.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
ATMCS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATMCS.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
ATMonochromator,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATMonochromator.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
ATHeaderService,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATHeaderService.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
ATOODS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATOODS.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
ATCamera,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATCamera.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
Electrometer:201,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.Electrometer.logevent_summaryState"" where salIndex = 201 ORDER BY DESC LIMIT 1",influxql
ATSpectrograph,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATSpectrograph.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
ATPneumatics,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATPneumatics.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
FiberSpectrograph,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.FiberSpectrograph.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
Scheduler:2,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.Scheduler.logevent_summaryState"" WHERE salIndex = 2 ORDER BY DESC LIMIT 1",influxql
ATOCPS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.OCPS.logevent_summaryState"" ORDER BY DESC LIMIT 1",influxql
Position 4  (Z),"SELECT ""position5"" FROM ""efd"".""autogen"".""lsst.sal.PMD.position"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Position 3 (Z),"SELECT ""position3"" FROM ""efd"".""autogen"".""lsst.sal.PMD.position"" WHERE time > :dashboardTime:",influxql
Position 2 (Z-motion),"SELECT ""position2"" FROM ""efd"".""autogen"".""lsst.sal.PMD.position"" WHERE time > :dashboardTime:",influxql
Position 1,"SELECT ""position1"" FROM ""efd"".""autogen"".""lsst.sal.PMD.position"" WHERE time > :dashboardTime:",influxql
Log messages,"SELECT ""level"", ""message"" FROM ""efd"".""autogen"".""lsst.sal.PMD.logevent_logMessage"" WHERE time > :dashboardTime:",influxql
Position 0,"SELECT ""position0"" FROM ""efd"".""autogen"".""lsst.sal.PMD.position"" WHERE time > :dashboardTime: ",influxql
Main Shutter Opening Percentage,"SELECT ""mainDoorOpeningPercentage"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.position"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Dome position,"SELECT ""azimuthPosition"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.position"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Dropout Shutter Open Percentage,"SELECT ""dropoutDoorOpeningPercentage"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.position"" ORDER BY time DESC LIMIT 1",influxql
Dome Status,"SELECT ""inPosition"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.logevent_allAxesInPosition"" ORDER BY time DESC LIMIT 1",influxql
Azimuth Position,"SELECT ""azimuthPosition"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.position"" ORDER BY time DESC LIMIT 1",influxql
Main Shutter Open Percentage,"SELECT ""mainDoorOpeningPercentage"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.position"" ORDER BY time DESC LIMIT 1",influxql
Emergency Stop,"SELECT ""active"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.logevent_emergencyStop"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
CamHexapod Motor currents ,"SELECT mean(""motorCurrent0"") AS ""mean_motorCurrent0"", mean(""motorCurrent1"") AS ""mean_motorCurrent1"", mean(""motorCurrent2"") AS ""mean_motorCurrent2"", mean(""motorCurrent3"") AS ""mean_motorCurrent3"", mean(""motorCurrent4"") AS ""mean_motorCurrent4"", mean(""motorCurrent5"") AS ""mean_motorCurrent5"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE salIndex=1 AND time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
M2 Tangent Link Temperatures,"SELECT ""temperatureItem1"", ""temperatureItem2"", ""temperatureItem3"", ""temperatureItem4"", ""temperatureItem5"", ""temperatureItem6"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 106 AND time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Camera Hexapod Temperatures,"SELECT ""temperatureItem5"" as ""Strut 12 temp"", ""temperatureItem4"" as ""Strut 11 temp"", ""temperatureItem3"" as ""Strut 10 temp"", ""temperatureItem2"" as ""Strut 9 temp"", ""temperatureItem1"" as ""Strut 8 temp"", ""temperatureItem0"" as ""Strut 7 temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 1 AND time > :dashboardTime: AND time < :upperDashboardTime:",influxql
MTRotator Temperatures,"SELECT ""temperatureItem6"" as ""Motor 1 temp"", ""temperatureItem7"" as ""Motor 2 temp"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 1 AND time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Dome Temperature,"SELECT ""temperatureItem0"" FROM ""efd"".""autogen"".""lsst.sal.ESS.temperature"" WHERE salIndex = 113 and time > :dashboardTime: AND time < :upperDashboardTime: ",influxql
Voltages,"SELECT ""gDV0"", ""oDV0"", ""oGV0"", ""rDV0"" FROM ""efd"".""autogen"".""lsst.sal.ATCamera.focal_plane_Ccd"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Temperature,"SELECT ""temp0"" FROM ""efd"".""autogen"".""lsst.sal.ATCamera.focal_plane_Ccd"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Untitled Graph,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.elevation"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Untitled Graph,"SELECT mean(""actualPosition"") AS ""mean_actualPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Untitled Graph,"SELECT mean(""temperature"") AS ""mean_temperature"" FROM ""efd"".""autogen"".""lsst.sal.CCCamera.vacuum_Cold2"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
Untitled Graph,"SELECT mean(""temperature"") AS ""mean_temperature"" FROM ""efd"".""autogen"".""lsst.sal.CCCamera.vacuum_Cold1"" WHERE time > :dashboardTime: AND time < :upperDashboardTime: GROUP BY time(:interval:) FILL(null)",influxql
M1M3 Detailed State - ,"SELECT ""detailedState"" FROM ""efd"".""autogen"".""lsst.sal.MTM1M3.logevent_detailedState"" ORDER BY time DESC LIMIT 1",influxql
M2 Closed Loop Status - 1: Idle. 2: Telemetry only. 3: Open-loop. 4: Closed-loop - Last 10,"SELECT ""mode"" FROM ""efd"".""autogen"".""lsst.sal.MTM2.logevent_closedLoopControlMode"" ORDER BY time DESC LIMIT 1",influxql
Azimuth Velocity,"SELECT ""actualVelocity"", ""demandVelocity"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
Azimuth Position,"SELECT ""actualPosition"", ""demandPosition"" FROM ""efd"".""autogen"".""lsst.sal.MTMount.azimuth"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",influxql
