name,query,question
Header sequence,"SELECT ""url"" FROM ""efd"".""autogen"".""lsst.sal.ATHeaderService.logevent_largeFileObjectAvailable"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:",What are the URLs of the large file objects that became available between the specified dashboard start time and end time?
"Currents 3, 4, 5 - Static","SELECT ""motorCurrent3"", ""motorCurrent4"", ""motorCurrent5"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What were the motor currents for motors 3, 4, and 5 of the LSST MTHexapod electrical system within the specified dashboard time range?"
Moving,"SELECT ""motorCurrent0"", ""motorCurrent1"", ""motorCurrent2"" FROM ""efd"".""autogen"".""lsst.sal.MTHexapod.electrical"" WHERE time > :dashboardTime: AND time < :upperDashboardTime:","What were the motor currents (motorCurrent0, motorCurrent1, and motorCurrent2) of the LSST SAL MTHexapod electrical system during the specified time range?"
HVAC,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.HVAC.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the LSST SAL HVAC system?
PMD:1,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.PMD.logevent_summaryState"" WHERE salIndex = 1 ORDER BY DESC LIMIT 1",What is the latest summary state for the PMD log event with a SAL index of 1?
ATMCS-Tracking,"SELECT ""state"" FROM ""efd"".""autogen"".""lsst.sal.ATMCS.logevent_atMountState"" ORDER BY DESC LIMIT 1",What is the most recent state of the AT Mount Control System (ATMCS) as recorded in the LSST SAL database?
Azimuth,"SELECT ""azimuthCalculatedAngle99"" FROM ""efd"".""autogen"".""lsst.sal.ATMCS.mount_AzEl_Encoders"" ORDER BY DESC LIMIT 1",What is the most recent value of the calculated azimuth angle (with a precision of 99 decimal places) from the AT Movable Local Coordinate System (MCS) mount's AzEl Encoders table in the LSST database?
GenericCamera:1,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.GenericCamera.logevent_summaryState"" WHERE ""salIndex"" = 1 ORDER BY DESC LIMIT 1",What is the latest summary state of the Generic Camera with SAL index 1?
ATAOS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATAOS.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the latest summary state reported by the ATLAS Operations (ATAOS) system?
ATHexapod,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATHexapod.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the LSST SAL ATHexapod log event?
ATDome,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATDome.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the AT Dome?
ATPtg,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATPtg.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the ATPtg log event in the LSST SAL database?
ATDomeTrajectory,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATDomeTrajectory.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the AT Dome Trajectory log event?
ATMCS,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATMCS.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state reported by the ATMCS system?
ATMonochromator,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATMonochromator.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state of the AT Monochromator?
ATHeaderService,"SELECT ""summaryState"" FROM ""efd"".""autogen"".""lsst.sal.ATHeaderService.logevent_summaryState"" ORDER BY DESC LIMIT 1",What is the most recent summary state reported by the ATHeaderService?
